Ontology,Input,Operazione,Esito,Costrutto,Messaggio
0f50cfb0-4be7-4239-8816-b5e06f63beb7_erativeOCL.owl,functional,render,OK,,
0f50cfb0-4be7-4239-8816-b5e06f63beb7_erativeOCL.owl,std,parse,OK,,
19deea53-8a8c-48c0-9cde-99140ba1a5e2_tance_edit.owl,MIS_128,parse,OK,,
19deea53-8a8c-48c0-9cde-99140ba1a5e2_tance_edit.owl,functional,render,OK,,
19deea53-8a8c-48c0-9cde-99140ba1a5e2_tance_edit.owl,std,parse,OK,,
1ae83c60-e25b-4f30-afda-9a407d2da8e3_ra_anatomy.owl,MIS_128,parse,OK,,
1ae83c60-e25b-4f30-afda-9a407d2da8e3_ra_anatomy.owl,functional,render,OK,,
1ae83c60-e25b-4f30-afda-9a407d2da8e3_ra_anatomy.owl,std,parse,OK,,
1b104481-2d27-43b4-86a3-98e6b2fdd413_fbdv.owl,MIS_128,parse,OK,,
1b104481-2d27-43b4-86a3-98e6b2fdd413_fbdv.owl,functional,render,OK,,
1b104481-2d27-43b4-86a3-98e6b2fdd413_fbdv.owl,std,parse,OK,,
1bb771b6-f131-46af-9cde-4294fb600b0c_twork_v0.1.owl,MIS_128,parse,OK,,
1bb771b6-f131-46af-9cde-4294fb600b0c_twork_v0.1.owl,functional,render,OK,,
1bb771b6-f131-46af-9cde-4294fb600b0c_twork_v0.1.owl,std,parse,OK,,
2445e055-6dd4-4787-ba1e-0e20739a30e4_LUMO.owl,MIS_128,parse,OK,,
2445e055-6dd4-4787-ba1e-0e20739a30e4_LUMO.owl,functional,render,OK,,
2445e055-6dd4-4787-ba1e-0e20739a30e4_LUMO.owl,std,parse,OK,,
2577736a-db03-46fc-9362-274e3af66718_propreo.obo,MIS_128,parse,OK,,
2577736a-db03-46fc-9362-274e3af66718_propreo.obo,functional,render,OK,,
2577736a-db03-46fc-9362-274e3af66718_propreo.obo,std,parse,OK,,
32d8a12b-5c75-4d62-a3a2-b3bc235d506d_expression.owl,MIS_128,parse,OK,,
32d8a12b-5c75-4d62-a3a2-b3bc235d506d_expression.owl,functional,render,OK,,
32d8a12b-5c75-4d62-a3a2-b3bc235d506d_expression.owl,std,parse,OK,,
32f6e531-f8f3-4bb3-a0f7-25c664c6acba_ecule_role.owl,MIS_128,parse,OK,,
32f6e531-f8f3-4bb3-a0f7-25c664c6acba_ecule_role.owl,functional,render,OK,,
32f6e531-f8f3-4bb3-a0f7-25c664c6acba_ecule_role.owl,std,parse,OK,,
345a9eac-24b5-4761-9a45-b98c29484458_sadiobjects.owl,MIS_128,parse,OK,,
345a9eac-24b5-4761-9a45-b98c29484458_sadiobjects.owl,functional,render,OK,,
345a9eac-24b5-4761-9a45-b98c29484458_sadiobjects.owl,std,parse,OK,,
3a8b11c8-7efa-4dbb-9dfe-5acd4b18df60_rsimplegaf.obo,MIS_128,parse,OK,,
3a8b11c8-7efa-4dbb-9dfe-5acd4b18df60_rsimplegaf.obo,functional,render,OK,,
3a8b11c8-7efa-4dbb-9dfe-5acd4b18df60_rsimplegaf.obo,std,parse,OK,,
40ffe51e-eda2-4415-9d0e-973629b32524_EHDAA,MIS_128,parse,OK,,
40ffe51e-eda2-4415-9d0e-973629b32524_EHDAA,functional,render,OK,,
40ffe51e-eda2-4415-9d0e-973629b32524_EHDAA,std,parse,OK,,
419e8422-f608-478b-9ce7-f551abb20172_sgenechrom.owl,MIS_128,parse,OK,,
419e8422-f608-478b-9ce7-f551abb20172_sgenechrom.owl,functional,render,OK,,
419e8422-f608-478b-9ce7-f551abb20172_sgenechrom.owl,std,parse,OK,,
4859c215-f75d-42bf-8520-d0caf9dde442_caro.owl,MIS_128,parse,OK,,
4859c215-f75d-42bf-8520-d0caf9dde442_caro.owl,functional,render,OK,,
4859c215-f75d-42bf-8520-d0caf9dde442_caro.owl,std,parse,OK,,
4a8a1268-458c-4f75-8a90-6e0a7c24cfe2_fyposimple.obo,MIS_128,parse,OK,,
4a8a1268-458c-4f75-8a90-6e0a7c24cfe2_fyposimple.obo,functional,render,OK,,
4a8a1268-458c-4f75-8a90-6e0a7c24cfe2_fyposimple.obo,std,parse,OK,,
50fc5b44-9af0-4540-866e-a19f5eb44a23__2010_base.owl,MIS_128,parse,OK,,
50fc5b44-9af0-4540-866e-a19f5eb44a23__2010_base.owl,functional,render,OK,,
50fc5b44-9af0-4540-866e-a19f5eb44a23__2010_base.owl,std,parse,OK,,
54bd4a53-4111-403d-8d8e-010116144168_tagenomics.owl,MIS_128,parse,OK,,
54bd4a53-4111-403d-8d8e-010116144168_tagenomics.owl,functional,render,OK,,
54bd4a53-4111-403d-8d8e-010116144168_tagenomics.owl,std,parse,OK,,
55cf17e6-2a7b-4880-a565-d62100789957_Function_1.owl,MIS_128,parse,OK,,
55cf17e6-2a7b-4880-a565-d62100789957_Function_1.owl,functional,render,OK,,
55cf17e6-2a7b-4880-a565-d62100789957_Function_1.owl,std,parse,OK,,
58197550-a9dd-4328-9ea0-9f26169c8e22_NIFMolecule.owl,MIS_128,parse,OK,,
58197550-a9dd-4328-9ea0-9f26169c8e22_NIFMolecule.owl,functional,render,OK,,
58197550-a9dd-4328-9ea0-9f26169c8e22_NIFMolecule.owl,std,parse,OK,,
5ce4039f-7515-4d22-b1b5-8cc98458c243_Mpeg72001.owl,MIS_128,parse,OK,,
5ce4039f-7515-4d22-b1b5-8cc98458c243_Mpeg72001.owl,functional,render,OK,,
5ce4039f-7515-4d22-b1b5-8cc98458c243_Mpeg72001.owl,std,parse,OK,,
75549c56-685e-448c-afe5-03755ad3217c_go.owl,MIS_128,parse,OK,,
75549c56-685e-448c-afe5-03755ad3217c_go.owl,functional,render,OK,,
75549c56-685e-448c-afe5-03755ad3217c_go.owl,std,parse,OK,,
756d4706-697f-452e-99cd-dbf32081601a__ontology.owl2,MIS_128,parse,OK,,
756d4706-697f-452e-99cd-dbf32081601a__ontology.owl2,functional,render,OK,,
756d4706-697f-452e-99cd-dbf32081601a__ontology.owl2,std,parse,OK,,
77094653-1dd0-493a-9927-7e327ab26df1_phylo.owl,MIS_128,parse,OK,,
77094653-1dd0-493a-9927-7e327ab26df1_phylo.owl,functional,render,OK,,
77094653-1dd0-493a-9927-7e327ab26df1_phylo.owl,std,parse,OK,,
77af02d9-169a-4074-83f3-b4e89d13bdc5_galen.owl,MIS_128,parse,OK,,
77af02d9-169a-4074-83f3-b4e89d13bdc5_galen.owl,functional,render,OK,,
77af02d9-169a-4074-83f3-b4e89d13bdc5_galen.owl,std,parse,OK,,
8483d657-6932-4d42-8980-3b7eb996c17c_ngineering.owl,MIS_128,parse,OK,,
8483d657-6932-4d42-8980-3b7eb996c17c_ngineering.owl,functional,render,OK,,
8483d657-6932-4d42-8980-3b7eb996c17c_ngineering.owl,std,parse,OK,,
8b075aae-de78-4da8-ab82-5c5afbeab78f_leost_taxonomy,MIS_128,parse,OK,,
8b075aae-de78-4da8-ab82-5c5afbeab78f_leost_taxonomy,functional,render,OK,,
8b075aae-de78-4da8-ab82-5c5afbeab78f_leost_taxonomy,std,parse,OK,,
8bdbdcc6-2c79-48af-8157-66abf593a8f2_classified.owl,MIS_128,parse,OK,,
8bdbdcc6-2c79-48af-8157-66abf593a8f2_classified.owl,functional,render,OK,,
8bdbdcc6-2c79-48af-8157-66abf593a8f2_classified.owl,std,parse,OK,,
8ec61954-36f1-45db-afa0-09e6683b4f21_ent_xp_go.owl2,MIS_128,parse,OK,,
8ec61954-36f1-45db-afa0-09e6683b4f21_ent_xp_go.owl2,functional,render,OK,,
8ec61954-36f1-45db-afa0-09e6683b4f21_ent_xp_go.owl2,std,parse,OK,,
a14a100e-202f-4eb1-9539-b24a28b802fb_cl_import.owl,MIS_128,parse,OK,,
a14a100e-202f-4eb1-9539-b24a28b802fb_cl_import.owl,functional,render,OK,,
a14a100e-202f-4eb1-9539-b24a28b802fb_cl_import.owl,std,parse,OK,,
a9712c71-8004-4e17-b056-4f7a11e7d64d_ABGSegment.owl,MIS_128,parse,OK,,
a9712c71-8004-4e17-b056-4f7a11e7d64d_ABGSegment.owl,functional,render,OK,,
a9712c71-8004-4e17-b056-4f7a11e7d64d_ABGSegment.owl,std,parse,OK,,
afad60ce-2326-429e-81c5-ca55842c39c3_entication.owl,MIS_128,parse,OK,,
afad60ce-2326-429e-81c5-ca55842c39c3_entication.owl,functional,render,OK,,
afad60ce-2326-429e-81c5-ca55842c39c3_entication.owl,std,parse,OK,,
approximated_00fec224-5de9-4f5c-bd58-6fe5903fc3a0_gilcore.owl,MIS_128,parse,OK,,
approximated_00fec224-5de9-4f5c-bd58-6fe5903fc3a0_gilcore.owl,functional,render,OK,,
approximated_00fec224-5de9-4f5c-bd58-6fe5903fc3a0_gilcore.owl,std,parse,OK,,
approximated_015e0fd4-bede-40a3-8406-3dfc6fc6a8dd_all.rdf,MIS_128,parse,OK,,
approximated_015e0fd4-bede-40a3-8406-3dfc6fc6a8dd_all.rdf,functional,render,OK,,
approximated_015e0fd4-bede-40a3-8406-3dfc6fc6a8dd_all.rdf,std,parse,OK,,
approximated_071feca2-a248-4370-97da-ff1d0b83c571_logyv0.1.3.owl,MIS_128,parse,OK,,
approximated_071feca2-a248-4370-97da-ff1d0b83c571_logyv0.1.3.owl,functional,render,OK,,
approximated_071feca2-a248-4370-97da-ff1d0b83c571_logyv0.1.3.owl,std,parse,OK,,
approximated_0d5857a3-e59e-4648-9efa-e40e9aa42ecc_Grounding.owl,MIS_128,parse,OK,,
approximated_0d5857a3-e59e-4648-9efa-e40e9aa42ecc_Grounding.owl,functional,render,OK,,
approximated_0d5857a3-e59e-4648-9efa-e40e9aa42ecc_Grounding.owl,std,parse,OK,,
approximated_187f0d06-043e-4d8a-82a7-f5a2d020ec79_pmbok4.owl,MIS_128,parse,OK,,
approximated_187f0d06-043e-4d8a-82a7-f5a2d020ec79_pmbok4.owl,functional,render,OK,,
approximated_187f0d06-043e-4d8a-82a7-f5a2d020ec79_pmbok4.owl,std,parse,OK,,
approximated_261f18de-581b-4334-9bd1-fa87028404cc__component.owl,MIS_128,parse,OK,,
